,prompt,sentence
143,202,"The Tang Dynasty started ruling in 618 A.D. Scholars generally agree that the famous Five Classics--Confucianism, Buddhism, Daoism, and Taoism--all stemmed from the origins of the Tang Dynasty. While some scholars argue that the term ""Confucianism"" originated with Sui Shou, we have evidence that the term ""Confucianism"" as we know it today came into use in the period 600 to 500 A.D. China was still a peasant culture, and people did not have the means to store and write history."
134,202,"The Tang Dynasty started ruling in 618 A.D. Scholars generally agree that the Tang Dynasty was prosperous, but that the Middle Kingdom's military might outstripped the State's. In 698 the King of Jiajing, Lei Zhen, led the revolt of the Henan troops, and fled to Chaozhou and the southern kingdom of the Jin. Hsiao-Lin, the Emperor, went to the south and besieged the city. In July of 704 the king of Liao sent the Yong-chin army to surround Chaozhou."
198,303,"A group of researchers at Cornell University thinks the future of farming could be the Earth itself. The researchers say climate change has exposed shallow roots to drying, which ultimately threatens our food supply. They suggest that self-digesting technology could reduce climate-driven soil degradation. According to Cornell University, an intensive 10-year study by ecologists found dry surface soils were around one to two percent more likely to experience cracking or silting during the study period. This result came as no surprise to co-author Douglas Konkle of the University of Arizona."
185,303,"A group of researchers at Cornell University thinks the future is looking bright for quantum computing. Now, in a paper published in Nature Photonics, they show how their ""2,300-sneak-and-peek"" approach could make quantum bits smaller than that. Most of the current applications of quantum computing are aimed at better, faster processing of complex data. One such tool is for all-purpose quantum-resistant cryptography. While at present, quantum algorithms exist to address such highly sophisticated, high-valued data, they have taken up a great deal of energy to do so."
217,303,"A group of researchers at Cornell University thinks the future could look a lot like Old Willy's bar. Professor Ann McKee and her colleagues have developed a material that looks like it's ""from another dimension,"" and may have properties not found in the normal materials used in everyday life. McKee likens the material to sticky tape. ""It could be like they used to do with sticky tapes to make them bend or be rolled,"" she says. ""This paper is sticky like sticky tape, but has its own place."
187,303,"A group of researchers at Cornell University thinks the future looks more like the late 70s than today. In a study of toymaker Mattel and their many successful Barbie and Ken dolls, the researchers warn that kids will demand more realism and ""less juvenile humor"" when the next round of toys come out. It's an optimistic outlook for a future defined by robots and digital worlds that kids are naturally familiar with. It's not far-fetched: Google's recent acquisition of robotics start-up Boston Dynamics shows this is already the case."
183,303,"A group of researchers at Cornell University thinks the future could be bleaker than previously imagined. They suggest robots may lead to robots gaining superhuman levels of autonomy, a threat to society that could undermine basic human values. Focussed on identifying and understanding human, social and organizational biases against automation, researchers David A. Patterson and Ken A. Levy focused their work on the first social robot: a humanoid robot that listens to two humans talking about their day. Patterson and Levy published their findings in the journal Proceedings of the National Academy of Sciences."
263,404,"Night blindness was a normal occurrence among pregnant women in 1900, as it was in 1900 for most women in Sweden. After the 1920s, there was a large increase in pregnancy-associated blindness. A direct association of albinism with pregnancy is rare (Herlitz and Frieda 1965). The frequency of blindness among those born with albinism is, however, fairly high, ranging from 2% to 30% in countries such as the United States (Southwood 1966). Despite the rise in anemia in the latter half of the 20th century, in 1960 there were only some 40 albinism patients in the whole of Sweden."
257,404,"Night blindness was a normal occurrence among pregnant women in the Netherlands. ""We know, for example, that women who could not see because they had previously suffered from retinopathy of prematurity, also could not see in the newborns,"" said the researcher, Nerk P. Arnoud. ""This indicates that blindness was a normal risk factor."" How is it possible? One possibility is that, unlike other ailments, blindness was not caused by some external cause, but developed at an early stage in the pregnancy. ""With every pregnancy, we are constantly exposed to various risk factors,"" Dr. Arnoud said. """
254,404,"Night blindness was a normal occurrence among pregnant women in their first trimester, and they were often in great pain as a result.... And because of the opiates that were available during that time, these women were getting stronger every week until they delivered their babies, and they had to go through an excruciating surgery to keep the opiates out of the fetal circulatory system."" An employee at the Mid-Atlantic Women's Care Center called this combination ""two folds"": the standard opioid cocktail plus the painkiller oxycodone.... It's a lot of pain, in other words."
244,404,"Night blindness was a normal occurrence among pregnant women in most Islamic countries, but it was not widespread. Myself, as an author of the Quran, I have had no difficulty in achieving light and visibility. Such ability makes us see all around us in a purer light. Most Muslims say that sex with a menstruating woman is haram. How can this be? Do you regard sex with a menstruating woman as a kind of torture? Or has it been abrogated in the Quran? Sex with a menstruating woman has been condemned in the Quran since the day it was revealed."
233,404,"Night blindness was a normal occurrence among pregnant women in the middle part of the twentieth century in America and is still not widely accepted as abnormal. Those who cite this condition as being linked to visual perceptual difficulties during pregnancy as the cause for their absence should be informed that the absence of visual sensation is the manifestation of a more complex condition, no more or less than one of oculomotor and visual-sensory hypersensitivity. However, it should be noted that excessive progesterone and those low levels that occur in pregnant women, do not, by itself, cause total blindness."
328,505,"Almost all socializing, gaming, and work happened outdoors. A day spent foraging in the forest or on the beach resulted in an inner-drive. I could do nothing but relish this for the rest of my life. When you spend every waking hour in that state of bliss, you appreciate your surroundings. At 19, I arrived in Portland, Oregon where I spent my next three years building a successful online business for myself."
297,505,"Almost all socializing, gaming, and work happened outdoors. A day to day trip to the grocery store started at dawn, but we had to deal with some slowness on our way out so we could still fall back to sleep after climbing high into the tree of life. I came home that night with a stack of books and for my and the rest of our lives a music CD of some of the finest trance music I had ever heard."
311,505,"Almost all socializing, gaming, and work happened outdoors. A day at the beach consisted of traditional meringues, washing salads in Chianti, or an early breakfast at the communal bar. I remember the cooking of porcinis was particularly innovative, involving a thick cream and a slow cooking and burning technique that finally brought to a boil the porcini in a very nutrient dense broth. Soon we all flew to St. Petersburg. Mr."
282,505,"Almost all socializing, gaming, and work happened outdoors. A day of drinking and housework took less than an hour, and, in the afternoons, we played games or wandered through the local shops. We spent so much time outside it made it impossible to earn money. We were all thin, so it was easy to hide under the covers in the middle of the night. Despite our fear of the cold, the apartment was larger than it looked."
322,505,"Almost all socializing, gaming, and work happened outdoors. A day spent living in a tent, even with a person to share it with, could be an all-out culture shock for many first-timers. The family decided to return to the U.S. for a little more sanity, and again enrolled in the U.S. Health System. It was during the year after college that Stetzer went to her second hospitalization for emergency surgery for kidney stones. The operation was not successful."
376,606,"The bilingual Shoshone woman Sacagawea (c. 1788 1812) accompanied her elders when first encountering the settlers and the Native Americans. They are often thought of as'rescuing' (or, as in the popular 'at school' version) the Shoshone from a 'losing the battle' fate. Sacagawea was, in fact, at the least, traveling to Washington to make arrangements. [ 1 ] [ 15 ] She was not, in fact, willing to lead the American expedition to the Missouri River, nor did she want the settlers to go to the Ohio country. She was, however, committed to completing the journey."
374,606,"The bilingual Shoshone woman Sacagawea (c. 1788 1812) accompanied George Armstrong Custer to the Little Bighorn River, where she became the first woman to make it from the Missouri River to the Pacific Ocean. Though the Confederates did not recognize her and she was brought to camps by the Army anyway, by mid-1860 she had become a national hero and there were charges that she had been kidnapped and perhaps murdered. Her exploits in the South and her remarkable testimony in Congress were still being debated during the War Between the States (1861-65)."
348,606,"The bilingual Shoshone woman Sacagawea (c. 1788 1812) accompanied Father Hennepin as a missionary to the Chinookan tribe living in eastern Minnesota. Born on the Shoshone reservation near what is now Independence, Oregon, she was able to speak their native language, and was noted for her bravery and bravery at war. Passed by Father Hennepin and the Matrosset tribe for allying with the French Sacagawea is buried in the Grotto Hill Chapel in Bend. Few women made it as far as they did as members of the first mission; Sacagawea did."
375,606,The bilingual Shoshone woman Sacagawea (c. 1788 1812) accompanied Joseph Smith on the Ohio River trail from Missouri to the Great Salt Lake. Carthage Exile in the 1820s Carthage founder Christian II extended the family's loyalty and sent Sacagawea on a much needed fishing expedition into the Middle East as the Iraqi Emperor Tiberius sought revenge on the Christians. Joseph Smith was taken into captivity at Carthage in 1838. He later escaped from the city and returned to Nauvoo. Sacagawea is considered the most important Mormon missionary wife to survive the banishment.
364,606,"The bilingual Shoshone woman Sacagawea (c. 1788 1812) accompanied Captain John Smith on his journeys in the Great Basin of North America. She was killed at the very beginning of the Oregon Trail (ca 1791) after which Smith would steer the clubbearer's pick. Little is known of the woman's travels but she is reported to have received payment for her services. She is said to have been very trustworthy and persistent in following Smith's direction. Smith reportedly paid Sacagawea $10.00, which was $10.00 to each of his five assistants and $2."
425,707,"For hundreds of years orchids have been prized discoveries of nature, and for good reason. Individual shoots and fronds of the Orchid of New Jersey grow large enough to be worth considerable sums. Orchid in the Tropics Orchid under heavy rain. All parts of the plant are sacred in the Orchid world. This large orchid (Colony of the Sacred Orchid in Guatemala) from Guatemala was found by Kat Martin in the tropical climate of Guatemala City, Guatemala. This orchid is believed to have been developed in the mountains of southern Guatemala."
436,707,"For hundreds of years orchids have been prized discoveries of curiosities, due in large part to their aesthetic perfection and ornamental blooms. The archival value of stargazers is reflected in the greater cultural cachet of these flowers, which have been an icon for spirituality, enlightenment, and contemplation for centuries. Each flower contains countless petals and faces with some kind of iridescent zest or color. These faces are the ""violets"" and ""hearts"" of the plants. The violets stand for life, as they contain all the microscopic seed particles that will grow into the flower."
433,707,"For hundreds of years orchids have been prized discoveries of many cultures. There are four major types, the Indica, the Gymnosperma, the Pachyrhizus, and the Lemon Balm. But where, exactly, do all of the varieties originated? These varieties were not created randomly; they were the result of four kinds of selective breeding. The I. swaravanii variety by Rosa and Carl Fischer was created through artificial selection. This variety was planted in the winter of 1962 and failed. A second plant was selected at the University of Illinois for September 1963 and was also able to produce seed."
430,707,"For hundreds of years orchids have been prized discoveries of artistic and scientific value, with collectors throughout the world carefully sifting through the remnants of these long-dead trees to uncover their secrets. There are still numerous specimens still hanging on with no conclusion as to their origin. Although researchers initially believed they had finally determined the species of orchid through thorough analysis of pollen, investigators soon discovered a fundamental flaw in their methods. Many orchids have long since lost their stigmas, which means they simply produce pollen without any need for an organ or hormone to do it."
387,707,"For hundreds of years orchids have been prized discoveries of the botanical world and few have produced as much awe-inspiring beauty and beauty as this purple-capped crocus species. Crocus carpocapsa, or alder, was rarely seen in the wild as people knew them. After becoming a regional favorite in the United States in the mid-1800s it spread throughout the world. Its blooming is heralded by waves of vibrant purple blooms and bands of red blossom edged in purple. Flowering is commonly 6 to 14 weeks later than many other flowers, so the crocus is best seen from March to June."
458,808,"Astronaut wives were pressured by NASA, their husbands, and their sons and dads to enroll in the special training program. As soon as they went through the signing procedure, they became young women in no man's land, having gone without love, security, and a family for the good of science. ""We began to make the wrong choices,"" says Carol Rosin, a NASA social worker at the time. The astronaut wives endured myriad hardships, from helping the men do spacewalks to self-improvement. ""You're forced to push yourself to go outside and not sit back,"" Lillo says. """
471,808,"Astronaut wives were pressured by NASA, their husbands, and their families to adopt the astronautical ideal. In NASA's catalog of reference materials, there is a special file titled ""How to Get Married to an Astronaut,"" which refers to married astronaut wives as, ""the supporting cast of an ensemble"" and ""men just as strong and independent as their wives. Because they are encouraged to marry as they join the ranks of the astronaut family, a successful marriage for many NASA astronauts is thus extremely difficult to achieve.""15 Most NASA wives have married non-astronauts because their husbands wished them to do so."
446,808,"Astronaut wives were pressured by NASA, their husbands, and their children to keep quiet about having husbands on the craft. In this way they were forced to silence themselves. ""They told me they were going to expose me. They said if I told anyone, they would kill my husband and all my children. And they wouldn't tell me where he was. They wouldn't tell me when he was going to return."" In the early years of the program, women were able to train and provide each other with information about space travel."
451,808,"Astronaut wives were pressured by NASA, their husbands, and their families to consider work opportunities with their husbands' space program,"" explained Mieke. ""And yes, they were asked to talk to their husbands about it, but it was as though the same message was hammered home that we can't talk about the marriage."" Mieke and her husband of six years, Mike Fletcher, were both major NASA astronauts. She remains in touch with her daughter, Lisa Kelly, who now works as the deputy program manager for the International Space Station, and her son, Todd Fletcher, who is currently working as an ISS project manager."
492,808,"Astronaut wives were pressured by NASA, their husbands, and their husbands' families to accept a new work environment that was going to have them sit and lay in bed and do nothing at all, and sometimes go home at night, find a rock and dust it off. They saw an opportunity to get the rest they needed by just sitting there. They decided that was far superior to sitting in a lot of chairs in a room. I guess being a sissy like the rest of us has nothing to do with it."
534,909,"In the Mesa Verde National Park in Colorado, one of the largest Indian rock formations in the world, the Grand Staircase-Escalante National Monument, is sacred to many Native Americans. Hide Caption 5 of 7 Photos: Photos: A tour through a sacred place Santa Ana Dam National Monument is also on the list. The world's largest battery is located here, creating the largest copper-nickel complex in the world. Hide Caption 6 of 7 Photos: Photos: A tour through a sacred place Colorado is home to a wide range of Native American tribes and their cultural sites, including many within these monuments."
514,909,"In the Mesa Verde National Park in Colorado, one of the most gorgeous, active rivers in the West, the Salt River of Utah, passes under a strip of land where camels and llamas are often spotted. In South Africa, rivers are the heritage of the place. Jhujuru Dam has both man-made and natural irrigation channels and has helped to transform the River Juba into one of the world's greatest and scenic rivers. Along the river, that's a nice thing to remember. It's also a reminder of how much Africa has changed as a result of immigration."
538,909,"In the Mesa Verde National Park in Colorado, one of the only places where a volcano has been exposed, locals have grown more and more worried about the potential consequences of a blowout. A few weeks ago, a group of coyotes came in to the park, picking over a cactus (and other scat) in the aftermath of a four-fold earthquake that occurred there a few days earlier. A handful of residents and local businesses are now convinced that a super volcano is nearby. Photograph: Kaitlin Ward And the Big Sky is no stranger to super volcanoes."
501,909,"In the Mesa Verde National Park in Colorado, one of these magma pockets exists along the upper southern flank of the Wealden Ocean volcanic island. Just across the island's border, another one exists on the mainland. The two plates of the world's most prominent volcanic island are well-positioned to absorb and release liquid material as it rotates. ""The boundaries between the two magma pockets, which remain hundreds of kilometers apart, have been moving over time, and the flows have been destabilizing,"" said lead study author H. Scott Apia, a researcher with the University of Utah, Salt Lake City. """
498,909,"In the Mesa Verde National Park in Colorado, one of the most important threats to the park's petroglyphs is that a tourist spending a day photographing rocks will place a camera right next to some of them. ""He is going to use a camera that you could never put right next to the rock,"" says Boudreau. Is this really worth the risk? Boudreau has no hesitation. ""That thing right there can't be used to get at anything you wouldn't want people to see,"" he says. ""The debate is, what happens to the rock if the culture doesn't survive?"
546,1010,"Weathering and erosion are very slow processes. Geologists believe the rain-driven mechanism of deposition began some 10 to 14 million years ago, by the long division of ice sheets and is continuing today, as the Mediterranean Sea's dramatic climate swings, with mild winters and longer and shorter summers. When the glacier is retreating, water piles up under the glacier, creating a small reservoir (the little mountain you see in the picture above), which can remain inactive for many years. At the same time, temperature variations also cause the ice to contract and expand, carrying additional meltwater to the valley below."
577,1010,"Weathering and erosion are very slow processes. Geologists believe the Appalachian Mountains, which stretch from Maine to North Carolina, have remained relatively undisturbed for millions of years. ""The Appalachian Mountains are extremely dry,"" said Judson L. Semmens, an Appalachian geologist at the University of Tennessee, Knoxville. ""They're deep, meaning they're more than a thousand feet beneath the surface. When people talk about dry, they're talking about very dry. It's getting to the point where we can think about how the soil moves, which would mean that the soil overlying the Appalachian Mountains is basically a rock."
584,1010,"Weathering and erosion are very slow processes. Geologists believe the Chicxulub impact event happened between 65 million and 145 million years ago. After the asteroid hit, the Chicxulub crater was roughly 2.2 miles in diameter and up to 1,800 feet deep. The impact caused a 2.6-mile high tidal wave and a four-mile wide crater containing all the rock and soil from which the ocean would later form. This ""super-eruption"" created over 600 square miles of new land. By comparison, the Black Sea is just around 20 square miles. Geologists believe an even bigger impact crater may have formed at the Sea's mouth."
579,1010,"Weathering and erosion are very slow processes. Geologists believe the crater formed over a hundred million years ago in an area with very cold temperatures and a very dry crust. In fact, scientists say that impact debris would have to have been transported to the moon very rapidly, with barely any time to cool. Many ancient tidal waves created by explosive eruptions of magma on Mercury among other places have brought ice deposits to Earth today, for example. Over millions of years, a sharp limit has been reached in the ice shelf's exposed thickness. Before this was reached, a """
582,1010,"Weathering and erosion are very slow processes. Geologists believe the Atlantic Front would eventually unroll at a slow pace, a process that would lead to low pressure on the East Coast in about a century. The ocean would reach the Atlantic by around 1470 AD, and then gradually flow east to the Pacific around 2200 years later. What would remain of the New World as a result of this destabilization of the Atlantic Front? The chart below shows the shape of the Atlantic and Central American seaboards over time. Similar features can be found on the Caribbean, Central American, and Pacific seaboards."
604,1111,"The closest relative of the woolly mammoth is the Asian elephant, which was once found in nearly every single island in the world, just to name a few. Aside from the overlap in species, the largest population of elephants lives in Asia, with several small populations in Africa and Siberia. The modern Asian elephant does not live in direct contact with woolly mammoths, but they are close, and there is certainly some interbreeding going on. When the mammoth went extinct, it was the elephant that went the way of the dodo, and may be only barely able to stand on its own. 8 Woolly-bammars."
602,1111,"The closest relative of the woolly mammoth is the Asian elephant. ""The bigger question is why don't they survive?"" Buckner told the Las Vegas Sun. ""They should not be alive today. Their ""diseases"" were not discovered until pretty recently."" The mammoth's remains, which were found in 2007 near the Russian city of Novosibirsk, were being studied at the Mammoth Site and Science Center in Siberia. A T-Rex skeleton was found on a Native American burial ground nearby, and scientists think it was covered in whale skin. Other remnants of the beast, including flipper marks, muscled vertebrae and soft tissues, were pulled up and studied in museums around the world."
620,1111,"The closest relative of the woolly mammoth is the Asian elephant, which inhabited Asia for thousands of years before the domestication of cattle began in the 10th century. Domesticating cattle, however, proved to be more difficult than domestication of the woolly mammoth. Domesticating the mammoth posed a whole host of new challenges to farmers who were used to cattle all day long and with the multiple consumption of meat, animal protein consumption in human diets plummeted. This was only to be made worse by the astonishing fat, resistant butterfat milk produced by the European sheep in the 17th century."
626,1111,"The closest relative of the woolly mammoth is the Asian elephant, which lived a million years earlier. Along the Silk Road, the mammoth was a big draw for culture and commerce. Like other prized animals, the mammoth would have been prized as a target for hunters. Were the Bering Sea mammoths clever enough to figure out how to survive in the icy steppe? But we still do not know exactly why the mammoths disappeared. The earliest studies of the fossils reveal they appeared to die out without much local disruption in general, suggesting they had a large population, but no geographic connection with modern-day Siberia or Alaska."
595,1111,"The closest relative of the woolly mammoth is the Asian elephant. The team noted that in addition to lung tissue in the ivory, researchers found bone fragments from the lungs of two elephants with very similar profiles to the plated piece from the Great Smoky Mountains National Park in Tennessee. Another bone from the same elephant had an uneven surface, similar to the grass of the Siberian steppes that the mammoth swiped to get to its next meal, and one more bone that was interspersed with grass grains suggested the mammoth had eaten grass in the forest, the researchers said."
642,1212,"Reports from just over a year ago say that thousands of troops part of the 2,400 U.S. troops already deployed in the country would have been involved in this action, as well as helicopters and artillery, but nothing has come of those reports, and nothing like the ""U.S. special forces"" has come to light. Could the CIA also have launched this attack? As the Reuters report mentions, it's not clear that the Syrian army or other U."
637,1212,"Reports from just over a year ago say that thousands of applicants were turned away for going outside of their state's residency requirement. In an email exchange with The Intercept, JAN were one of the first U.S. organizations to send applicants to their new location since a vast number of applicants have been turned away for having applied through other agencies, such as states. The firm told The Intercept that what they are doing here in the U."
667,1212,"Reports from just over a year ago say that thousands of lives were saved by the establishment of that panel to study cybercrime in July 2015, and that far from causing attacks, it actually stopped them. Just three months later, the commission's final report says, the government decided not to adopt any specific legislation for Internet privacy. It's unclear why that is. French law prescribes only a vague statement of obligations for service providers. """
669,1212,"Reports from just over a year ago say that thousands of jobs were being created at the Port of Oakland's port facility. Just over a year later, the number of jobs at the facility has plummeted by 20%. That's according to research from Silicon Valley Bank that examined staffing trends at the Port of Oakland since January 2016. Silicon Valley Bank used a broad set of metrics to judge the Port of Oakland's effectiveness."
668,1212,"Reports from just over a year ago say that thousands of Islamic jihadists are already training for their ""maritime war."" ""Islamic terrorists are already actively engaging in naval and air warfare. In just one example in just the past few months, a large-scale battle took place in the Red Sea between the most violent terrorist group in the world, the Islamic State of Iraq and Syria (ISIS), and other naval forces in the Gulf,"""
708,1313,"Antarctica has just two seasons: summer and winter. Antarctica has beautiful landscapes of glaciers, deep valleys and snow fields and valleys of frozen water. Antarctica has the longest summer daylight hours of any continent - up to 14 hours longer than the equator. As a result of the temperature change from summer to winter, summers are often short - 6 to 10 days - and winters often long - 23 to 29 days. This means Antarctica experiences climate changes about once a year. As much as people like to think of Antarctica as a barren wasteland of ice, that is very far from the truth."
692,1313,"Antarctica has just two seasons: summer and winter. Antarctica has 23 major lakes, one of which is Mead. See the map above for Mead's latitude and longitude. Mead is a small-mouthed hydrothermal vent system located 1,500 meters below the surface. It was formed from an initial venting event and has subsequently been continuously enlarged by dissolving magma. It is thus constantly receiving fresh magma to expand and contract, forming veins and channels that flow for miles. You'll see magma seen in Yellowstone. It is constantly cooling. As the magma cools, it forms fractures and, when these fractures open up, the magma splits off and escapes."
683,1313,"Antarctica has just two seasons: summer and winter. Antarctica has no cycle. That means there's no known way that this region of the world could possibly experience any significant amount of rainfall. That isn't to say that there are no habitable places, the world is getting drier and the majority of Antarctica is literally on a slow decline due to warming from global warming. The amount of precipitation that has to come through Antarctica varies and it depends on the size of the ice sheets, the amount of sunlight that reaches the ice, and whether the ice faces in the wind."
677,1313,"Antarctica has just two seasons: summer and winter. Antarctica has only one broad category of climate: the Antarctic Climate. The Antarctic Climate is the average of all six possible climate extremes in a particular season: the AmundsenScott South Pole Station Climate, the Harrisonburg Climate, the McMurdo Station Climate, the Lake Vostok Climate, and the South Pole Climate. As you might expect, Antarctica is constantly and rapidly changing. In fact, it is the only continent where the weather patterns vary from season to season. Each season has its own unique environment, and so its weather pattern is also unique. Antarctica is constantly changing."
700,1313,"Antarctica has just two seasons: summer and winter. Antarctica has frequent warm up periods and a shortage of sunlight to make ice, which makes it quite common for people to think that all the snow has gone to Antarctica. The actual trend is quite different. Antarctica holds a significant volume of snow over the summer, and that snow falls in the southern hemisphere and makes it to the freezing surface of the earth in the winter. Antarctica can get above freezing temperatures up to 50% of the time in the winter, and there's a significant peak in the winters when Antarctic weather is abnormally cold."
769,1414,"The Caribbean flamingos of Mexico are one of six flamingo species in Mexico, which can be classified as toothed. They have long, dense skin which protects them from flying insects. The females come in a variety of colors and are very vocal, most often calls like the ""salute"" and the ""salutes."" There are an estimated 800,000 flamingos across Mexico, mostly in the beaches and in the north. 5 Squirrel While squirrels are indeed cute and have cute voices, the critters are quite annoying when they howl their annoying voice."
740,1414,"The Caribbean flamingos of Mexico are one of six flamingo species in the world. There are between 60 and 90 wild flying fowl in Mexico, and while the birds are generally white, they can be blue, red, green, brown, or other shades of white. They are well-known for feeding on nutria, lizards, and other reptiles and amphibians, as well as birds. Black-crowned Night-Herons Black-crowned Night-Herons live on the shores of the Gulf of California in southern California. They nest on the seabed, and they feed exclusively on crabs, shrimps, snails, and fish."
755,1414,"The Caribbean flamingos of Mexico are one of six flamingo species that live in Mexico. They are found throughout the country in humid highland forest and grasslands. They have a reddish-brown head, yellow-green plumage with a white throat and ruff, dark brown bills and legs with two rows of spurs on each foot. Males have seven toes on each foot, two on the bill and one on the long toes. Females have seven toes on each foot, four on the bill and two on the long toes."
749,1414,"The Caribbean flamingos of Mexico are one of six flamingo species found in Mexico. They are closely related to other flamingo species found in Mexico, including the Mexico flamingo. There are five known species of flamingos found in the Caribbean region. All species inhabit the country's southeastern coast, including the island of Yucatn. Flamingo nests are formed by individuals using sticks or stones to create a nest. The chicks are born from eggs made by females. The juvenile flamingos move to the open ocean to find food and to hunt for their own food."
732,1414,"The Caribbean flamingos of Mexico are one of six flamingo species in Mexico. Males are about 13 to 15 centimetres long and females are about 9 to 10 centimetres long. The FLCAP is in the genus of Saururus and is not included in the list of Florida birds and other migratory species under the federal Migratory Bird Treaty Act (FMTA). NOTE: While most populations of Caribbean flamingos in the Florida Keys exist as the species of Saururus coeruleus, some birds of this species have been recorded in previous years."
839,1515,"During puberty, boys experience a greater increase in muscular strength. Increasing testosterone levels during puberty increases the libido and stimulates sexual maturation, and the size and strength of the musculature in boys increase. A better understanding of the role of testosterone in muscle development during puberty is important for sports medicine. The aims of this review are to summarize recent studies on the influence of sex steroids in development of skeletal muscle and to make a short review of the recent research using genetically modified mice in sports medicine."
823,1515,"During puberty, boys experience a greater increase in muscular strength and size than girls. This upward trend in muscle size, along with a subsequent increase in aerobic capacity, make males more athletic than females. As a consequence, boys are often less attracted to sports than girls. This is reflected in the lower participation rate of young men in sports than the general population. In addition, young men are more likely to drop out of physical education classes and drop out of sports classes. Why Are So Many Young Men Drop Out of Physical Education Classes?"
